dt,observer,current_time,current_v,probe_auc,future_recoverable,future_v_min,future_collapsed
0.02,slow_observer,24.0,0.9999995028898631,2.456818181818182,False,-0.8112158131072558,True
0.02,slow_observer,24.0,0.9999995028898631,2.5181818181818185,False,-0.8564543165435572,True
0.02,slow_observer,24.0,0.9999995028898631,2.579545454545455,False,-0.9016928199798607,True
0.02,slow_observer,24.0,0.9999995028898631,2.640909090909091,False,-0.946931323416165,True
0.02,slow_observer,24.0,0.9999995028898631,2.7022727272727276,False,-0.9921698268524656,True
0.02,slow_observer,24.0,0.9999995028898631,2.7636363636363637,False,-1.0374083302887678,True
0.02,slow_observer,24.0,0.9999995028898631,2.825,False,-1.082646833725071,True
0.02,slow_observer,24.0,0.9999995028898631,2.8863636363636367,False,-1.1278853371613717,True
0.02,slow_observer,24.0,0.9999995028898631,2.947727272727273,False,-1.173123840597677,True
0.02,slow_observer,24.0,0.9999995028898631,3.0090909090909097,False,-1.218362344033979,True
0.02,slow_observer,24.0,0.9999995028898631,3.0704545454545453,False,-1.2636008474702816,True
0.02,slow_observer,24.0,0.9999995028898631,3.131818181818182,False,-1.3088393509065845,True
0.02,slow_observer,24.0,0.9999995028898631,3.1931818181818183,False,-1.3540778543428857,True
0.02,slow_observer,24.0,0.9999995028898631,3.254545454545455,False,-1.3993163577791912,True
0.02,slow_observer,24.0,0.9999995028898631,3.3159090909090914,False,-1.4445548612154935,True
0.02,slow_observer,24.0,0.9999995028898631,3.377272727272728,False,-1.4897933646517953,True
0.02,slow_observer,24.0,0.9999995028898631,3.4386363636363644,False,-1.5350318680880966,True
0.02,slow_observer,24.0,0.9999995028898631,3.5,False,-1.5802703715243986,True
0.02,slow_observer,26.0,0.9999941143065708,0.8,True,0.4102218769826752,False
0.02,slow_observer,26.0,0.9999941143065708,0.8613636363636364,True,0.3649833735463717,False
0.02,slow_observer,26.0,0.9999941143065708,0.9227272727272728,True,0.31974487011007,True
0.02,slow_observer,26.0,0.9999941143065708,0.9840909090909091,True,0.27450636667376593,True
0.02,slow_observer,26.0,0.9999941143065708,1.0454545454545454,True,0.22926786323746445,True
0.02,slow_observer,26.0,0.9999941143065708,1.106818181818182,True,0.18402935980116109,True
0.02,slow_observer,26.0,0.9999941143065708,1.1681818181818182,True,0.1387908563648582,True
0.02,slow_observer,26.0,0.9999941143065708,1.2295454545454545,True,0.09355235292855688,True
0.02,slow_observer,26.0,0.9999941143065708,1.290909090909091,True,0.048313849492253695,True
0.02,slow_observer,26.0,0.9999941143065708,1.3522727272727275,True,0.0030753460559514233,True
0.02,slow_observer,26.0,0.9999941143065708,1.4136363636363638,True,-0.04216315738035047,True
0.02,slow_observer,26.0,0.9999941143065708,1.475,True,-0.08740166081665432,True
0.02,slow_observer,26.0,0.9999941143065708,1.5363636363636366,True,-0.13264016425295633,True
0.02,slow_observer,26.0,0.9999941143065708,1.5977272727272729,True,-0.17787866768925906,True
0.02,slow_observer,26.0,0.9999941143065708,1.6590909090909092,True,-0.22311717112556206,True
0.02,slow_observer,26.0,0.9999941143065708,1.7204545454545457,True,-0.26835567456186515,True
0.02,slow_observer,26.0,0.9999941143065708,1.781818181818182,True,-0.3135941779981668,True
0.02,slow_observer,26.0,0.9999941143065708,1.8431818181818183,True,-0.3588326814344697,True
0.02,slow_observer,26.0,0.9999941143065708,1.9045454545454548,True,-0.4040711848707713,True
0.02,slow_observer,26.0,0.9999941143065708,1.965909090909091,True,-0.44930968830707485,True
0.02,slow_observer,26.0,0.9999941143065708,2.0272727272727273,True,-0.49454819174337633,True
0.02,slow_observer,26.0,0.9999941143065708,2.088636363636364,True,-0.5397866951796803,True
0.02,slow_observer,26.0,0.9999941143065708,2.1500000000000004,True,-0.5850251986159827,True
0.02,slow_observer,26.0,0.9999941143065708,2.211363636363637,True,-0.6302637020522858,True
0.02,slow_observer,26.0,0.9999941143065708,2.272727272727273,True,-0.6755022054885877,True
0.02,slow_observer,26.0,0.9999941143065708,2.334090909090909,True,-0.7207407089248903,True
0.02,slow_observer,26.0,0.9999941143065708,2.3954545454545455,True,-0.7659792123611927,True
0.02,slow_observer,26.0,0.9999941143065708,2.456818181818182,False,-0.8112177157974949,True
0.02,slow_observer,26.0,0.9999941143065708,2.5181818181818185,False,-0.8564562192337983,True
0.02,slow_observer,26.0,0.9999941143065708,2.579545454545455,False,-0.9016947226701005,True
0.02,slow_observer,26.0,0.9999941143065708,2.640909090909091,False,-0.9469332261064047,True
0.02,slow_observer,26.0,0.9999941143065708,2.7022727272727276,False,-0.9921717295427066,True
0.02,slow_observer,26.0,0.9999941143065708,2.7636363636363637,False,-1.0374102329790087,True
0.02,slow_observer,26.0,0.9999941143065708,2.825,False,-1.082648736415311,True
0.02,slow_observer,26.0,0.9999941143065708,2.8863636363636367,False,-1.1278872398516138,True
0.02,slow_observer,26.0,0.9999941143065708,2.947727272727273,False,-1.1731257432879179,True
0.02,slow_observer,26.0,0.9999941143065708,3.0090909090909097,False,-1.2183642467242195,True
0.02,slow_observer,26.0,0.9999941143065708,3.0704545454545453,False,-1.2636027501605214,True
0.02,slow_observer,26.0,0.9999941143065708,3.131818181818182,False,-1.3088412535968232,True
0.02,slow_observer,26.0,0.9999941143065708,3.1931818181818183,False,-1.3540797570331276,True
0.02,slow_observer,26.0,0.9999941143065708,3.254545454545455,False,-1.3993182604694303,True
0.02,slow_observer,26.0,0.9999941143065708,3.3159090909090914,False,-1.4445567639057328,True
0.02,slow_observer,26.0,0.9999941143065708,3.377272727272728,False,-1.489795267342034,True
0.02,slow_observer,26.0,0.9999941143065708,3.4386363636363644,False,-1.5350337707783386,True
0.02,slow_observer,26.0,0.9999941143065708,3.5,False,-1.5802722742146376,True
0.02,slow_observer,28.0,0.999945222703419,0.8,True,0.4102046135256416,False
0.02,slow_observer,28.0,0.999945222703419,0.8613636363636364,True,0.36496611008933805,False
0.02,slow_observer,28.0,0.999945222703419,0.9227272727272728,True,0.3197276066530348,True
0.02,slow_observer,28.0,0.999945222703419,0.9840909090909091,True,0.2744891032167327,True
0.02,slow_observer,28.0,0.999945222703419,1.0454545454545454,True,0.22925059978042994,True
0.02,slow_observer,28.0,0.999945222703419,1.106818181818182,True,0.18401209634412766,True
0.02,slow_observer,28.0,0.999945222703419,1.1681818181818182,True,0.1387735929078243,True
0.02,slow_observer,28.0,0.999945222703419,1.2295454545454545,True,0.09353508947152381,True
0.02,slow_observer,28.0,0.999945222703419,1.290909090909091,True,0.04829658603522092,True
0.02,slow_observer,28.0,0.999945222703419,1.3522727272727275,True,0.0030580825989160736,True
0.02,slow_observer,28.0,0.999945222703419,1.4136363636363638,True,-0.04218042083738517,True
0.02,slow_observer,28.0,0.999945222703419,1.475,True,-0.08741892427368704,True
0.02,slow_observer,28.0,0.999945222703419,1.5363636363636366,True,-0.13265742770999123,True
0.02,slow_observer,28.0,0.999945222703419,1.5977272727272729,True,-0.17789593114629326,True
0.02,slow_observer,28.0,0.999945222703419,1.6590909090909092,True,-0.223134434582595,True
0.02,slow_observer,28.0,0.999945222703419,1.7204545454545457,True,-0.26837293801889767,True
0.02,slow_observer,28.0,0.999945222703419,1.781818181818182,True,-0.3136114414552009,True
0.02,slow_observer,28.0,0.999945222703419,1.8431818181818183,True,-0.35884994489150307,True
0.02,slow_observer,28.0,0.999945222703419,1.9045454545454548,True,-0.4040884483278065,True
0.02,slow_observer,28.0,0.999945222703419,1.965909090909091,True,-0.4493269517641091,True
0.02,slow_observer,28.0,0.999945222703419,2.0272727272727273,True,-0.49456545520041184,True
0.02,slow_observer,28.0,0.999945222703419,2.088636363636364,True,-0.5398039586367138,True
0.02,slow_observer,28.0,0.999945222703419,2.1500000000000004,True,-0.5850424620730167,True
0.02,slow_observer,28.0,0.999945222703419,2.211363636363637,True,-0.630280965509319,True
