probe_sigma,observer,current_time,current_v,probe_auc,future_recoverable,future_v_min,future_collapsed
4.5,slow_observer,280.0,0.4808031882733162,2.579545454545455,False,-1.086384258913155,True
4.5,slow_observer,280.0,0.4808031882733162,2.640909090909091,False,-1.1316180666836169,True
4.5,slow_observer,280.0,0.4808031882733162,2.7022727272727276,False,-1.1768581948612247,True
4.5,slow_observer,280.0,0.4808031882733162,2.7636363636363637,False,-1.2220991436378088,True
4.5,slow_observer,280.0,0.4808031882733162,2.825,False,-1.2673400924143905,True
4.5,slow_observer,280.0,0.4808031882733162,2.8863636363636367,False,-1.312581041190972,True
4.5,slow_observer,280.0,0.4808031882733162,2.947727272727273,False,-1.357821989967556,True
4.5,slow_observer,280.0,0.4808031882733162,3.0090909090909097,False,-1.403062938744138,True
4.5,slow_observer,280.0,0.4808031882733162,3.0704545454545453,False,-1.4483038875207208,True
4.5,slow_observer,280.0,0.4808031882733162,3.131818181818182,False,-1.4935448362973038,True
4.5,slow_observer,280.0,0.4808031882733162,3.1931818181818183,False,-1.5387857850738849,True
4.5,slow_observer,280.0,0.4808031882733162,3.254545454545455,False,-1.5840267338504685,True
4.5,slow_observer,280.0,0.4808031882733162,3.3159090909090914,False,-1.6292691349698647,True
4.5,slow_observer,280.0,0.4808031882733162,3.377272727272728,False,-1.6745158036586234,True
4.5,slow_observer,280.0,0.4808031882733162,3.4386363636363644,False,-1.7197624723473817,True
4.5,slow_observer,280.0,0.4808031882733162,3.5,False,-1.765009141036141,True
4.5,slow_observer,282.0,0.5143147693056501,0.8,True,0.2364173362471423,True
4.5,slow_observer,282.0,0.5143147693056501,0.8613636363636364,True,0.19131755464372335,True
4.5,slow_observer,282.0,0.5143147693056501,0.9227272727272728,True,0.1461965787038433,True
4.5,slow_observer,282.0,0.5143147693056501,0.9840909090909091,True,0.10105890547111074,True
4.5,slow_observer,282.0,0.5143147693056501,1.0454545454545454,True,0.055908967579959064,True
4.5,slow_observer,282.0,0.5143147693056501,1.106818181818182,True,0.010748767129351368,True
4.5,slow_observer,282.0,0.5143147693056501,1.1681818181818182,True,-0.03442507887607745,True
4.5,slow_observer,282.0,0.5143147693056501,1.2295454545454545,True,-0.07960129042803425,True
4.5,slow_observer,282.0,0.5143147693056501,1.290909090909091,True,-0.12479170491751464,True
4.5,slow_observer,282.0,0.5143147693056501,1.3522727272727275,True,-0.16998240881683058,True
4.5,slow_observer,282.0,0.5143147693056501,1.4136363636363638,True,-0.21518216622788613,True
4.5,slow_observer,282.0,0.5143147693056501,1.475,True,-0.26038585973895856,True
4.5,slow_observer,282.0,0.5143147693056501,1.5363636363636366,True,-0.3055895532500333,True
4.5,slow_observer,282.0,0.5143147693056501,1.5977272727272729,True,-0.35080304599357043,True
4.5,slow_observer,282.0,0.5143147693056501,1.6590909090909092,True,-0.39601824251244433,True
4.5,slow_observer,282.0,0.5143147693056501,1.7204545454545457,True,-0.4412334390313184,True
4.5,slow_observer,282.0,0.5143147693056501,1.781818181818182,True,-0.4864507315591942,True
4.5,slow_observer,282.0,0.5143147693056501,1.8431818181818183,True,-0.531675960719299,True
4.5,slow_observer,282.0,0.5143147693056501,1.9045454545454548,True,-0.5769011898794035,True
4.5,slow_observer,282.0,0.5143147693056501,1.965909090909091,True,-0.622126419039508,True
4.5,slow_observer,282.0,0.5143147693056501,2.0272727272727273,True,-0.6673516481996126,True
4.5,slow_observer,282.0,0.5143147693056501,2.088636363636364,True,-0.7125801277091108,True
4.5,slow_observer,282.0,0.5143147693056501,2.1500000000000004,True,-0.7578139354795734,True
4.5,slow_observer,282.0,0.5143147693056501,2.211363636363637,True,-0.8030477432500345,True
4.5,slow_observer,282.0,0.5143147693056501,2.272727272727273,False,-0.848281551020496,True
4.5,slow_observer,282.0,0.5143147693056501,2.334090909090909,False,-0.893515358790957,True
4.5,slow_observer,282.0,0.5143147693056501,2.3954545454545455,False,-0.9387491665614184,True
4.5,slow_observer,282.0,0.5143147693056501,2.456818181818182,False,-0.9839829743318791,True
4.5,slow_observer,282.0,0.5143147693056501,2.5181818181818185,False,-1.0292215689395243,True
4.5,slow_observer,282.0,0.5143147693056501,2.579545454545455,False,-1.0744625177161076,True
4.5,slow_observer,282.0,0.5143147693056501,2.640909090909091,False,-1.11970346649269,True
4.5,slow_observer,282.0,0.5143147693056501,2.7022727272727276,False,-1.1649444152692725,True
4.5,slow_observer,282.0,0.5143147693056501,2.7636363636363637,False,-1.210185364045855,True
