noise_strength,observer,current_time,current_v,probe_auc,recovery_probability,mean_future_v_min,std_future_v_min
0.05,slow_observer,184.0,-1.2155127722405288,2.9857142857142858,0.0,-2.0250243004688464,0.03059605425835548
0.05,slow_observer,184.0,-1.2155127722405288,3.1142857142857148,0.0,-2.1192037289731935,0.03066072130260055
0.05,slow_observer,184.0,-1.2155127722405288,3.242857142857143,0.0,-2.213498795713365,0.030630360106750888
0.05,slow_observer,184.0,-1.2155127722405288,3.371428571428572,0.0,-2.3078817937431677,0.03052486445122598
0.05,slow_observer,184.0,-1.2155127722405288,3.5,0.0,-2.402353080512788,0.030469274943335293
0.05,slow_observer,192.0,-1.751163263841916,0.8,0.16666666666666666,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,0.9285714285714286,0.16666666666666666,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,1.0571428571428572,0.16666666666666666,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,1.185714285714286,0.16666666666666666,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,1.3142857142857145,0.16666666666666666,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,1.442857142857143,0.16666666666666666,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,1.5714285714285716,0.16666666666666666,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,1.7000000000000002,0.16666666666666666,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,1.8285714285714287,0.16666666666666666,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,1.9571428571428573,0.0,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,2.085714285714286,0.0,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,2.2142857142857144,0.0,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,2.3428571428571434,0.0,-1.7511632638419157,2.220446049250313e-16
0.05,slow_observer,192.0,-1.751163263841916,2.4714285714285715,0.0,-1.8193238195901118,0.030622066287008184
0.05,slow_observer,192.0,-1.751163263841916,2.6000000000000005,0.0,-1.9132409808287407,0.030413355894170244
0.05,slow_observer,192.0,-1.751163263841916,2.7285714285714286,0.0,-2.007187949985305,0.0302357455433705
0.05,slow_observer,192.0,-1.751163263841916,2.8571428571428577,0.0,-2.10115763782165,0.030084509045685694
0.05,slow_observer,192.0,-1.751163263841916,2.9857142857142858,0.0,-2.195230583506358,0.029980346259647767
0.05,slow_observer,192.0,-1.751163263841916,3.1142857142857148,0.0,-2.2893207946835648,0.02989302237313347
0.05,slow_observer,192.0,-1.751163263841916,3.242857142857143,0.0,-2.3834555582809855,0.029842627612533736
0.05,slow_observer,192.0,-1.751163263841916,3.371428571428572,0.0,-2.477735151161459,0.029882583108724648
0.05,slow_observer,192.0,-1.751163263841916,3.5,0.0,-2.57204685385171,0.029946424036259595
0.05,slow_observer,200.0,-1.1550531933130752,0.8,0.3333333333333333,-1.1551775842002843,0.0002781464795807978
0.05,slow_observer,200.0,-1.1550531933130752,0.9285714285714286,0.3333333333333333,-1.1551775842635295,0.0002781466210015004
0.05,slow_observer,200.0,-1.1550531933130752,1.0571428571428572,0.0,-1.1551775843267749,0.0002781467624222857
0.05,slow_observer,200.0,-1.1550531933130752,1.185714285714286,0.0,-1.1551775843900203,0.00027814690384307103
0.05,slow_observer,200.0,-1.1550531933130752,1.3142857142857145,0.0,-1.1551775844532655,0.0002781470452637736
0.05,slow_observer,200.0,-1.1550531933130752,1.442857142857143,0.0,-1.1551775845165106,0.00027814718668455894
0.05,slow_observer,200.0,-1.1550531933130752,1.5714285714285716,0.0,-1.155177584579756,0.00027814732810526157
0.05,slow_observer,200.0,-1.1550531933130752,1.7000000000000002,0.0,-1.1551775846430012,0.00027814746952604686
0.05,slow_observer,200.0,-1.1550531933130752,1.8285714285714287,0.0,-1.1551775847062467,0.00027814761094683215
0.05,slow_observer,200.0,-1.1550531933130752,1.9571428571428573,0.0,-1.2156655963061744,0.02294497941754084
